"MYCO REFERRAL PROGRAM - MASTER WORKBOOK",,,,,,
"Generated: January 2026",,,,,,
,,,,,,
"================================================================================",,,,,,
"SECTION 1: FINAL APPROVED PAYOUT STRUCTURE",,,,,,
"================================================================================",,,,,,
,,,,,,
"Component","Rate","Base","Per $1,500 Project","Notes",,
"Consultant Payout","75%","of TPC","$1,125","Paid to consultants for work",,
"MyCo Gross Margin","25%","of TPC","$375","Before RO payouts",,
"RO Client (Years 1-3)","10%","of TPC","$150","High rate to incentivize referrals",,
"RO Client (Year 4+)","3%","of TPC","$45","Reduced after cliff",,
"RO Consultant","1.5%","of Allocated Cost","$16.88","Based on consultant allocation",,
"Cliff Year","Year 4","","","Rate drops after 3 years",,
,,,,,,
"================================================================================",,,,,,
"SECTION 2: MONEY FLOW DIAGRAM (Per $1,500 Project)",,,,,,
"================================================================================",,,,,,
,,,,,,
"Step","From","To","Amount","Percentage",,
"1","Client","MyCo","$1,500","100%",,
"2","MyCo","Consultants","$1,125","75%",,
"3","MyCo","RO Client (Yr 1-3)","$150","10%",,
"4","MyCo","RO Consultant","$16.88","~1.1%",,
"5","MyCo","Keeps (Net)","$208.12","~13.9%",,
,,,,,,
"================================================================================",,,,,,
"SECTION 3: PARTNER EARNINGS PROJECTIONS (Single Client Referral)",,,,,,
"================================================================================",,,,,,
,,,,,,
"Year","Projects","TPC/Project","Annual Revenue","RO Client Rate","RO Client Payout","Cumulative Payout"
"1","2","$1,500","$3,000","10%","$300","$300"
"2","2","$1,500","$3,000","10%","$300","$600"
"3","2","$1,500","$3,000","10%","$300","$900"
"4","2","$1,500","$3,000","3%","$90","$990"
"5","2","$1,500","$3,000","3%","$90","$1,080"
"6","2","$1,500","$3,000","3%","$90","$1,170"
"7","2","$1,500","$3,000","3%","$90","$1,260"
"8","2","$1,500","$3,000","3%","$90","$1,350"
"9","2","$1,500","$3,000","3%","$90","$1,440"
"10","2","$1,500","$3,000","3%","$90","$1,530"
,,,,,,
"SUMMARY:","","","","5-Year Total:","$1,080",""
"","","","","10-Year Total:","$1,530",""
,,,,,,
"================================================================================",,,,,,
"SECTION 4: MULTIPLE REFERRALS EARNINGS",,,,,,
"================================================================================",,,,,,
,,,,,,
"Clients Referred","5-Year Earnings","10-Year Earnings","Meets $1K Target?","Meets $5K Target?",,
"1","$1,080","$1,530","YES","NO",,
"2","$2,160","$3,060","YES","NO",,
"3","$3,240","$4,590","YES","NO",,
"4","$4,320","$6,120","YES","YES",,
"5","$5,400","$7,650","YES","YES",,
"10","$10,800","$15,300","YES","YES",,
,,,,,,
"================================================================================",,,,,,
"SECTION 5: SCENARIO ANALYSIS",,,,,,
"================================================================================",,,,,,
,,,,,,
"Scenario","TPC","Projects/Year","5-Year Partner Earnings","MyCo Net/Project","Assessment"
"Pessimistic","$800","1","$360","$111","Below target"
"Base Case","$1,500","2","$1,080","$208","Meets target"
"Optimistic","$3,000","3","$3,240","$417","Exceeds target"
"Enterprise","$5,000","2","$3,600","$694","Excellent"
"Premium Enterprise","$10,000","2","$7,200","$1,388","Consider cap"
,,,,,,
"================================================================================",,,,,,
"SECTION 6: STRESS TEST RESULTS",,,,,,
"================================================================================",,,,,,
,,,,,,
"Test Scenario","TPC","Partner 5-Year","MyCo Net/Project","Viability",,
"Micro Projects","$200","$144","$28","NOT VIABLE",,
"Small Projects","$500","$360","$69","MARGINAL",,
"Low-End","$800","$576","$111","ACCEPTABLE",,
"Standard","$1,500","$1,080","$208","GOOD",,
